numUe,FlowType,mean_throughput,std_throughput,mean_delay,std_delay,n,se_throughput,se_delay,policy
6,bulk,1.74387,0.46838889429618213,0.05963496666666667,0.009511770941487889,3,0.27042445420733197,0.005491623513538093,SOP
6,sensor,0.150306,0.013763239553244714,0.8984690000000001,0.16571169141312878,3,0.007946210060987141,0.0956736896452381,SOP
6,video,1.8885666666666665,0.34934135173685527,0.8465383333333333,0.7032364848771239,3,0.20169232346434113,0.40601377384777365,SOP
8,bulk,1.4921866666666668,0.2956087769896782,0.07289403333333333,0.00989455277025361,3,0.17066980696980677,0.005712622705416879,SOP
8,sensor,0.15310466666666667,0.02402861796552881,0.8367809999999999,0.20447557510128192,3,0.013872929050652736,0.11805402832742866,SOP
8,video,1.4119843333333335,0.6586903143559447,1.3177906666666668,0.36172765954697655,3,0.3802950303060039,0.20884356161278023,SOP
10,bulk,0.7648213333333334,0.3499097068992704,0.07002390000000001,0.006240588247112602,3,0.20202046347035685,0.003603005304372076,SOP
10,sensor,0.150676,0.00402244863236314,0.8105060000000001,0.021179730333505124,3,0.0023223618006963007,0.012228123009412867,SOP
10,video,1.6472866666666668,0.19390438373934035,1.0564,0.10768082326951257,3,0.11195074814895666,0.062169552301213606,SOP
20,bulk,1.028224,0.44512951911550414,0.05620993333333333,0.010476486727111014,3,0.25699564768558497,0.006048602432059086,SOP
20,sensor,0.10028669999999999,0.004374682734782029,0.6230763333333332,0.05691828265446289,3,0.002525724254545613,0.03286178581236536,SOP
20,video,0.261616,0.02868621200158708,1.3875433333333334,0.17885277194758067,3,0.016561992221146977,0.10326069602924645,SOP
30,bulk,0.6987019999999999,0.03525670592951075,0.058259766666666664,0.0036979882021625425,3,0.02035546865914251,0.0021350344839786042,SOP
30,sensor,0.08941973333333332,0.010711396036153892,0.7098416666666667,0.07354618769408333,3,0.006184227384870141,0.042461911263049754,SOP
30,video,0.10541503333333334,0.044922942699731204,1.0109413333333332,0.20626456696518022,3,0.025936273060479947,0.1190869032616284,SOP
6,bulk,1.092241,0.5826206618401033,0.11706533333333334,0.007979116826650262,3,0.33637619594882157,0.004606745247762002,SOP+LSTM
6,sensor,0.14911333333333335,0.012711832689794696,0.6505736666666667,0.09822799221369297,3,0.007339180025346453,0.0567119577465321,SOP+LSTM
6,video,2.1803433333333335,0.380609588073308,1.87009,0.08351316842271049,3,0.21974504813027698,0.04821635026973046,SOP+LSTM
8,bulk,0.7215243333333333,0.34117381816653713,0.10894946666666666,0.010412328771861424,3,0.19697679575890267,0.006011560819325079,SOP+LSTM
8,sensor,0.13170933333333332,0.03138969826763762,0.5985563333333334,0.12662529323296093,3,0.01812285074460171,0.07310714713426529,SOP+LSTM
8,video,1.4911176666666666,0.7629257744868326,1.70397,0.13572929713219625,3,0.44047540127167656,0.0783633462361922,SOP+LSTM
10,bulk,0.49723999999999996,0.017492676067428877,0.11715466666666667,0.013742701202213967,3,0.010099401236376987,0.007934352238490828,SOP+LSTM
10,sensor,0.1303696666666667,0.007799951367369743,0.5924733333333333,0.0087576367436275,3,0.004503304021616911,0.005056223931398296,SOP+LSTM
10,video,1.64369,0.1781551896521682,1.30447,0.33917589301128104,3,0.10285794670320815,0.19582329313269484,SOP+LSTM
20,bulk,0.688095,0.3311963509898622,0.10508329999999999,0.005809633479833294,3,0.19121630239861875,0.0033541934534748147,SOP+LSTM
20,sensor,0.09420913333333332,0.0033877592304255204,0.6809286666666666,0.06954646674226761,3,0.0019559237036358137,0.04015267129483556,SOP+LSTM
20,video,0.27353500000000003,0.02165197152686101,1.35865,0.11474701608320798,3,0.012500771589519316,0.06624922062434645,SOP+LSTM
30,bulk,0.4169596666666666,0.11103812509374127,0.10284579999999999,0.023416700231245216,3,0.06410789141318286,0.013519638182042198,SOP+LSTM
30,sensor,0.08032386666666667,0.00803380918203397,0.6890436666666666,0.021300936724316433,3,0.0046383218938654,0.012298101551775279,SOP+LSTM
30,video,0.1116628,0.04177360269883363,1.1803766666666666,0.18198826235044205,3,0.024118000763192076,0.10507097225737996,SOP+LSTM
